,Hurricane Shelter,Special Needs,Pet Friendly,Island,Zip Code,Location 1,latitud,longitud
172,Lanai High ,S,No,LANAI,96763.0,"555 Fraser Avenue
Lanai City, HI
(20.826403590649665, -156.92192135269593)",20.826403590649665, -156.92192135269593
173,Kauluwela Elementary,No,No,OAHU,96817.0,"1486 Aala Street
Honolulu, HI
(21.318467208477045, -157.85844293300423)",21.318467208477045, -157.85844293300423
174,Waipahu High ,S,P ,OAHU,96797.0,"94-1211 Farrington Highway
Waipahu, HI
(21.390341025058717, -157.99353908824568)",21.390341025058717, -157.99353908824568
175,Kauai Humane Society [pets only] ,No,P ,KAUAI,96766.0,"3 Kaumualii Hwy 825
Lihue, HI
(21.974889999673906, -159.36859000002835)",21.974889999673906, -159.36859000002835
176,Kaahumanu Elementary,No,No,OAHU,96814.0,"1141 Kinau Street
Honolulu, HI
(21.302881957709246, -157.84394586189194)",21.302881957709246, -157.84394586189194
177,Barbers Point Elementary,No,No,OAHU,96707.0,"3001 Boxer Road
Kapolei, HI
(21.321283963735834, -158.0829662454299)",21.321283963735834, -158.0829662454299
178,Makakilo Elementary,No,No,OAHU,96707.0,"92-675 Anipeahi Street
Kapolei, HI
(21.34553680155898, -158.08479329455875)",21.34553680155898, -158.08479329455875
179,Nanakuli High & Intermediate ,S,P ,OAHU,96792.0,"89-980 Nanakuli Avenue
Waianae, HI
(21.3865099132139, -158.13102744008506)",21.3865099132139, -158.13102744008506
180,Lihikai Elementary  ,S,No,MAUI,96732.0,"335 S. Papa Avenue
Kahului, HI
(20.88004771919327, -156.48516020782256)",20.88004771919327, -156.48516020782256
181,Baldwin High  ,S,P ,MAUI,96793.0,"1650 Kaahumanu Avenue
Wailuku, HI
(20.8888880547413, -156.49198606202495)",20.8888880547413, -156.49198606202495
182,Kaewai Elementary ,S ,No,OAHU,96819.0,"1929 Kam IV Road
Honolulu, HI
(21.304770000335395, -157.85761000030112)",21.304770000335395, -157.85761000030112
183,Kapalama Elementary ,S ,No,OAHU,96817.0,"1601 North School Street
Honolulu, HI
(21.335527347372874, -157.8690369465094)",21.335527347372874, -157.8690369465094
184,Holualoa Elementary,No,No,HAWAII,96725.0,"76-5957 Mamalahoa Highway
Holualoa, HI
(19.617138786667567, -155.94919125802065)",19.617138786667567, -155.94919125802065
185,Kalihi Elementary,No,No,OAHU,96819.0,"2471 Kula Kolea Drive
Honolulu, HI
(21.351324332590398, -157.86161333095993)",21.351324332590398, -157.86161333095993
186,Pauoa Elementary,No,No,OAHU,96813.0,"2301 Pauoa Road
Honolulu, HI
(21.31928559152368, -157.8439908279934)",21.31928559152368, -157.8439908279934
187,Aliamanu Middle ,S ,No,OAHU,96818.0,"3271 Salt Lake Boulevard
Honolulu, HI
(21.344286743938255, -157.91533404457775)",21.344286743938255, -157.91533404457775
188,Helemano Elementary ,S ,No,OAHU,96786.0,"1001 Ihi Ihi Avenue
Wahiawa, HI
(21.51356612951338, -158.02226343386153)",21.51356612951338, -158.02226343386153
189,Central Middle ,P ,No,OAHU,96813.0,"1302 Queen Emma Street
Honolulu, HI
(21.31070605936418, -157.85687811267326)",21.31070605936418, -157.85687811267326
190,Kaimiloa Elementary,No,No,OAHU,96706.0,"91-1028 Kaunolu Street
Ewa Beach, HI
(21.31980719830068, -158.00844984749148)",21.31980719830068, -158.00844984749148
191,Fern Elementary,No,No,OAHU,96819.0,"1121 Middle Street
Honolulu, HI
(21.339457384640923, -157.88177134644428)",21.339457384640923, -157.88177134644428
192,Kahala Elementary ,S ,No,OAHU,96816.0,"4559 Kilauea Avenue
Honolulu, HI
(21.273686689543133, -157.78537449488505)",21.273686689543133, -157.78537449488505
193,Paia Elementary  ,S,No,MAUI,96779.0,"955 Baldwin Avenue
Paia, HI
(20.899437102144987, -156.3630502626842)",20.899437102144987, -156.3630502626842
194,Wilcox Elementary,No,No,KAUAI,96766.0,"4319 Hardy Street
Lihue, HI
(21.976266635002744, -159.3640747731404)",21.976266635002744, -159.3640747731404
195,Kihei Elementary  ,S,No,MAUI,96753.0,"250 E. Lipoa Street
Kihei, HI
(20.748656770712557, -156.4468041232729)",20.748656770712557, -156.4468041232729
196,Aikahi Elementary,No,No,OAHU,96734.0,"281 Ilihau Street
Kailua, HI
(21.424973916407055, -157.74832095051644)",21.424973916407055, -157.74832095051644
197,Haiku Elementary,No,No,MAUI,96708.0,"105 Pauwela Road
Haiku, HI
(20.926665223310525, -156.32243292557231)",20.926665223310525, -156.32243292557231
198,Noelani Elementary ,S ,No,OAHU,96822.0,"2655 Woodlawn Drive
Honolulu, HI
(21.306547470504874, -157.81181985336215)",21.306547470504874, -157.81181985336215
199,Manoa Elementary ,S ,No,OAHU,96822.0,"3155 Manoa Road
Honolulu, HI
(21.31719017119542, -157.80904317393478)",21.31719017119542, -157.80904317393478
200,Makaha Elementary,No,No,OAHU,96792.0,"84-200 Ala Naauao Place
Waianae, HI
(21.46926222680731, -158.21248420568847)",21.46926222680731, -158.21248420568847
201,Keaau Elementary,No,No,HAWAII,96749.0,"16-680 Keauu-Pahoa Road
Kea`au, HI
(19.620570000305406, -155.03814000016072)",19.620570000305406, -155.03814000016072
202,Kalihi-Uka Elementary ,S ,No,OAHU,96819.0,"2411 Kalihi Street
Honolulu, HI
(21.345590760880725, -157.86219310586642)",21.345590760880725, -157.86219310586642
203,Waikiki Elementary,No,No,OAHU,96815.0,"3710 Leahi Avenue
Honolulu, HI
(21.267331757891043, -157.81540138068195)",21.267331757891043, -157.81540138068195
204,Lahaina Intermediate  ,S,No,MAUI,96761.0,"871 Lahainaluna Road
Lahaina, HI
(20.885589717809303, -156.66126435421876)",20.885589717809303, -156.66126435421876
205,Kualapuu Elementary,No,No,MOLOKAI,96757.0,"260 Farrington Avenue
Kualapuu, HI
(21.154215770083376, -157.03783039619293)",21.154215770083376, -157.03783039619293
206,Pearl City Elementary,No,No,OAHU,96782.0,"1090 Waimano Home Road
Pearl City, HI
(21.395860245661787, -157.96947536997712)",21.395860245661787, -157.96947536997712
207,Kealakehe High   ,S,P ,HAWAII,96740.0,"74-5000 Puohulihuli Street
Kailua-Kona, HI
(19.64013000029945, -155.99567999973206)",19.64013000029945, -155.99567999973206
208,Keaau High   ,S,P ,HAWAII,96749.0,"16-725 Keaau-Pahoa Road
Kea`au, HI
(19.551517024273476, -154.98349977920822)",19.551517024273476, -154.98349977920822
209,Kaiser High ,S,P ,OAHU,96825.0,"511 Lunalilo Home Road
Honolulu, HI
(21.286073628981683, -157.69769811348715)",21.286073628981683, -157.69769811348715
211,Neal Blaisdell Center ,S ,No,OAHU,96814.0,"777 Ward Avenue
Honolulu, HI
(21.299239421463, -157.85238370719622)",21.299239421463, -157.85238370719622
212,Webling Elementary,No,No,OAHU,96701.0,"99-370 Paihi Street
Aiea, HI
(21.376640205005142, -157.91792824873806)",21.376640205005142, -157.91792824873806
213,Liholiho Elementary ,S ,No,OAHU,96816.0,"3430 Maunaloa Avenue
Honolulu, HI
(21.27842939173263, -157.80651607903246)",21.27842939173263, -157.80651607903246
214,Leihoku Elementary,No,No,OAHU,96792.0,"86-285 Leihoku Street
Waianae, HI
(21.439138238368514, -158.175040260199)",21.439138238368514, -158.175040260199
215,Mokapu Elementary ,S ,No,OAHU,96734.0,"1193 Mokapu Road
Kailua, HI
(21.455193264040716, -157.7652190842768)",21.455193264040716, -157.7652190842768
216,Palolo Elementary ,S ,No,OAHU,96816.0,"2106 10th Avenue
Honolulu, HI
(21.299437554337032, -157.7917941774128)",21.299437554337032, -157.7917941774128
217,Hickam Elementary,No,No,OAHU,96818.0,"825 Manzelman Circle
Honolulu, HI
(21.342620864629332, -157.96262118227784)",21.342620864629332, -157.96262118227784
218,Kapolei Elementary ,S ,No,OAHU,96707.0,"91-1119 Kamaaha Loop
Kapolei, HI
(21.335122652459688, -158.06488230483006)",21.335122652459688, -158.06488230483006
219,Nanakuli Elementary,No,No,OAHU,96792.0,"89-778 Haleakala Avenue
Waianae, HI
(21.38733979187401, -158.13664272943433)",21.38733979187401, -158.13664272943433
220,Waimea High   ,S,P ,KAUAI,96796.0,"9707 Tsuchiya Road
Waimea, HI
(21.957309605210583, -159.66875119832426)",21.957309605210583, -159.66875119832426
221,Kipapa Elementary ,S ,No,OAHU,96789.0,"95-076 Kipapa Drive
Mililani, HI
(21.46174720237301, -158.01349374811437)",21.46174720237301, -158.01349374811437
222,Kamiloiki Elementary ,S ,No,OAHU,96825.0,"7788 Hawaii Kai Drive
Honolulu, HI
(21.294221486567096, -157.68608786608888)",21.294221486567096, -157.68608786608888
223,Hilo High   ,S,P ,HAWAII,96720.0,"556 Waianuenue Avenue
Hilo, HI
(19.721183830328435, -155.09570542126093)",19.721183830328435, -155.09570542126093
224,Kilauea Elementary School,No,No,KAUAI,96754.0,"2440 Kolo Rd.
Kilauea, HI
(22.205108797163916, -159.40948565049737)",22.205108797163916, -159.40948565049737
225,Kalanianaole Elementary   ,S,P ,HAWAII,96781.0,"27-330 Old Mamalahoa Highway
Papaikou, HI
(19.791480019915618, -155.0944949427245)",19.791480019915618, -155.0944949427245
226,Mililani Ike Elementary,No,No,OAHU,96789.0,"95-1330 Lehiwa Drive
Mililani, HI
(21.479517797484107, -157.98474371879914)",21.479517797484107, -157.98474371879914
227,Kohala High and Elementary   ,S,No,HAWAII,96755.0,"54-3611 Akoni Pule Highway
Kapaau, HI
(20.23207735756033, -155.8059979984244)",20.23207735756033, -155.8059979984244
228,Hookena Elementary,No,No,HAWAII,96704.0,"86-4355 Mamalahoa Highway
Captain Cook, HI
(19.3869393268277, -155.87802790584212)",19.3869393268277, -155.87802790584212
229,Keolu Elementary,No,No,OAHU,96734.0,"1416 Keolu Drive
Kailua, HI
(21.370897682785255, -157.73537071329454)",21.370897682785255, -157.73537071329454
230,Waiakea Elementary   ,S,No,HAWAII,96720.0,"180 W. Puainako Street
Hilo, HI
(19.694458240523918, -155.0745869292947)",19.694458240523918, -155.0745869292947
231,Campbell High ,S,P ,OAHU,,"91-980 North Rd
Ewa Beach, HI
(21.31606601865883, -158.00669616953434)",21.31606601865883, -158.00669616953434
232,Kapaa Elementary School     ,S,No,KAUAI,96746.0,"4886 Kawaihau Road
Kapaa, HI
(22.08901118854565, -159.31388707505545)",22.08901118854565, -159.31388707505545
